epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,541.391,2.19832,2.05705,2.17048,1.38105,0,0.53344,0.17917,0.17183,0.06593,0.29769,0.11917,0.08847,0.04262,2.10206,1.95514,2.91126,1.35179,0,0.0007327,0.0007327,0.0007327
29,561.965,2.07052,2.1331,2.0615,1.40862,0,0.28981,0.23148,0.1687,0.07241,0.36808,0.10917,0.10454,0.04386,2.22845,1.92805,2.96511,1.41108,0,0.0007228,0.0007228,0.0007228
30,582.074,2.07335,2.06623,2.0018,1.28611,0,0.22693,0.23199,0.16382,0.06506,0.41731,0.10917,0.10691,0.0427,2.24209,1.89978,3.10561,1.42601,0,0.0007129,0.0007129,0.0007129
31,601.977,2.1178,2.1428,2.01438,1.3245,0,0.27147,0.22475,0.15573,0.05822,0.48226,0.11917,0.11607,0.0392,2.24413,1.91763,3.12025,1.41992,0,0.000703,0.000703,0.000703
32,621.986,2.10514,2.0657,2.06503,1.3084,0,0.22335,0.29502,0.19224,0.07395,0.37377,0.12917,0.14716,0.0672,2.23989,1.92966,2.97717,1.42671,0,0.0006931,0.0006931,0.0006931
33,642.219,2.14769,2.01644,1.97291,1.3566,0,0.49445,0.24175,0.18234,0.07114,0.45024,0.1775,0.13353,0.05092,2.29565,1.9913,2.82767,1.41231,0,0.0006832,0.0006832,0.0006832
34,662.364,2.13997,2.05481,1.92969,1.40364,0,0.50421,0.21574,0.19105,0.07641,0.55166,0.1325,0.1295,0.05332,2.23523,2.07361,2.82242,1.40243,0,0.0006733,0.0006733,0.0006733
35,683.238,2.03875,1.94815,1.902,1.28046,0,0.4069,0.22917,0.20904,0.098,0.73568,0.1525,0.16844,0.06234,2.1065,2.0688,2.81552,1.35921,0,0.0006634,0.0006634,0.0006634
36,703.452,2.11757,2.07754,1.93558,1.33838,0,0.33459,0.24583,0.21622,0.10235,0.68234,0.1525,0.1663,0.07277,2.02129,2.00869,2.80183,1.35476,0,0.0006535,0.0006535,0.0006535
37,724.034,1.97694,1.80978,1.93939,1.34267,0,0.30708,0.28633,0.23686,0.11323,0.83079,0.1353,0.18247,0.08212,2.0045,2.02807,2.7583,1.36303,0,0.0006436,0.0006436,0.0006436
38,744.488,1.99547,2.20168,1.90533,1.33207,0,0.35264,0.28031,0.21906,0.11068,0.74734,0.1425,0.17198,0.07906,1.99664,2.06012,2.70392,1.35098,0,0.0006337,0.0006337,0.0006337
39,765.302,1.90099,1.99526,1.85457,1.21297,0,0.24721,0.30717,0.22497,0.10499,0.52935,0.17049,0.1734,0.07964,2.08031,2.08804,2.71619,1.37012,0,0.0006238,0.0006238,0.0006238
40,786.864,1.96129,1.85452,1.77151,1.3046,0,0.44589,0.225,0.19824,0.09065,0.47955,0.16333,0.1396,0.06655,2.04625,2.04478,2.7129,1.3609,0,0.0006139,0.0006139,0.0006139
41,807.158,1.92154,1.8901,1.87636,1.29964,0,0.23599,0.29004,0.18442,0.07915,0.30751,0.15917,0.12105,0.05326,2.07406,2.10386,2.85424,1.37485,0,0.000604,0.000604,0.000604
42,827.361,2.09324,1.94616,1.89697,1.33476,0,0.23673,0.26353,0.17216,0.07536,0.63172,0.09365,0.10705,0.04654,2.11887,2.08876,3.251,1.38822,0,0.0005941,0.0005941,0.0005941
43,848.556,2.02886,2.20431,1.94653,1.28589,0,0.23465,0.28807,0.16384,0.07604,0.62983,0.09763,0.10622,0.04809,2.13363,1.99658,3.11313,1.426,0,0.0005842,0.0005842,0.0005842
44,868.72,1.91738,1.97679,1.82491,1.25553,0,0.23128,0.275,0.16615,0.06924,0.19855,0.14583,0.10608,0.04867,2.13498,1.92801,3.14849,1.42356,0,0.0005743,0.0005743,0.0005743
45,888.839,1.9081,1.84468,1.80689,1.22643,0,0.30887,0.23158,0.17066,0.08164,0.13971,0.14222,0.10967,0.0521,2.19451,1.89407,3.1896,1.45842,0,0.0005644,0.0005644,0.0005644
46,908.81,1.99032,2.08908,1.88819,1.27396,0,0.28964,0.24247,0.17415,0.07367,0.36887,0.10919,0.10649,0.05146,2.30966,1.88431,2.91759,1.47126,0,0.0005545,0.0005545,0.0005545
47,929.191,1.97034,1.91769,1.76208,1.26403,0,0.30237,0.25255,0.2123,0.08042,0.61269,0.0925,0.13657,0.06147,2.29066,1.94012,2.93013,1.46971,0,0.0005446,0.0005446,0.0005446
48,949.496,2.03637,2.09969,1.85936,1.29392,0,0.30401,0.22649,0.21789,0.08315,0.69243,0.0925,0.13236,0.06227,2.24309,1.96494,2.98771,1.43477,0,0.0005347,0.0005347,0.0005347
49,969.991,1.79477,1.84261,1.66451,1.20279,0,0.29068,0.22963,0.18452,0.07428,0.57205,0.0925,0.11167,0.05388,2.20616,1.96596,3.00423,1.4165,0,0.0005248,0.0005248,0.0005248
50,990.185,1.88477,1.94534,1.77114,1.29134,0,0.39773,0.23962,0.17613,0.0813,0.45282,0.10083,0.09487,0.04737,2.17895,1.93008,3.10718,1.42667,0,0.0005149,0.0005149,0.0005149
51,1010.64,1.93491,1.897,1.71606,1.26701,0,0.42344,0.24036,0.18603,0.08998,0.62502,0.0925,0.10046,0.05322,2.16783,1.90019,3.15479,1.39588,0,0.000505,0.000505,0.000505
52,1030.64,1.95398,1.9363,1.82709,1.21287,0,0.38635,0.27488,0.18415,0.0883,0.68901,0.0925,0.10774,0.05646,2.16465,1.85621,3.48306,1.40327,0,0.0004951,0.0004951,0.0004951
53,1050.44,1.86064,1.99767,1.70679,1.27775,0,0.29087,0.2927,0.20025,0.08956,0.68935,0.0925,0.10345,0.0504,2.15473,1.88716,3.38298,1.38095,0,0.0004852,0.0004852,0.0004852
54,1070.71,1.74017,1.76478,1.57534,1.15357,0,0.31602,0.35174,0.20622,0.08929,0.20199,0.18583,0.11468,0.05397,2.11901,1.89671,3.34232,1.39578,0,0.0004753,0.0004753,0.0004753
55,1090.62,1.83721,1.78073,1.69203,1.27642,0,0.18053,0.30692,0.19934,0.08838,0.10322,0.23333,0.11327,0.05172,2.08732,1.92031,3.18892,1.37706,0,0.0004654,0.0004654,0.0004654
56,1111,1.69626,1.85959,1.588,1.10953,0,0.17897,0.29108,0.1996,0.09245,0.11678,0.25524,0.11467,0.04962,2.08399,1.9292,3.10971,1.38654,0,0.0004555,0.0004555,0.0004555
57,1131.32,1.62636,1.67183,1.53896,1.12541,0,0.13379,0.28254,0.21062,0.09696,0.74287,0.09363,0.11857,0.05085,2.04361,1.94946,2.95996,1.35105,0,0.0004456,0.0004456,0.0004456
